COD_LOC;NOMBRE_LOC;CP;POBLACION;OFICINA;PROVINCIA;COD_PROY;ID_EVALUACION;Fecha de ejecucion;COD_AUDITOR;RESULTADO;TITULO_CUESTIONARIO
981;AIR MOVIL BALEAR, S.L;7011;PALMA DE MALLORCA;901;BALEARES;0457_003;1964452;17/03/2014;A29667;0,8951;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
981;AIR MOVIL BALEAR, S.L;7011;PALMA DE MALLORCA;901;BALEARES;0457_003;1964453;17/03/2014;A29667;0,9071;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
981;AIR MOVIL BALEAR, S.L;7011;PALMA DE MALLORCA;901;BALEARES;0457_003;1964454;17/03/2014;A29667;0,9775;ESPECIALISTAS PROCESOS APPTUALIZADOR - P6 (13.14)
6839;TCUIDA CARDENES ALTAVISTA;35011;Las Palmas de Gran Canarias;919;PALMAS, LAS;0421_001;1964455;21/02/2014;32777;0,6767;TCUIDA_Cuestionario Español feb'14
6839;TCUIDA CARDENES ALTAVISTA;35011;Las Palmas de Gran Canarias;919;PALMAS, LAS;0421_001;1964456;10/03/2014;32777;0,8843;TCUIDA_Cuestionario Español feb'14
0323M;MANACOR MOVIL;7500;MANACOR;959;BALEARES;0524_004;1964457;26/02/2014;33883;0,6782;Cuestionario Seat Leon ST 1º Trim 2014
876;ONDAS SYSTEM S.L.;8490;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964458;26/02/2014;A30448;0,9245;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
876;ONDAS SYSTEM S.L.;8490;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964459;26/02/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
876;ONDAS SYSTEM S.L.;8490;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964460;26/02/2014;A30448;0,99;ESPECIALISTAS PROCESOS - P6 (13.14)
0941a;GRANOLLERS TELEFONÍA S.L.;8940;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964461;26/02/2014;A30448;0,9061;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
0941a;GRANOLLERS TELEFONÍA S.L.;8940;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964462;26/02/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
0941a;GRANOLLERS TELEFONÍA S.L.;8940;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964463;26/02/2014;A30448;1;ESPECIALISTAS PROCESOS - P6 (13.14)
924;GRUPCOM RETAIL,  S.L.;8700;IGUALADA;901;BARCELONA;0457_003;1964464;11/03/2014;A30448;0,9082;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
924;GRUPCOM RETAIL,  S.L.;8700;IGUALADA;901;BARCELONA;0457_003;1964465;11/03/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
924;GRUPCOM RETAIL,  S.L.;8700;IGUALADA;901;BARCELONA;0457_003;1964466;11/03/2014;A30448;1;ESPECIALISTAS PROCESOS - P6 (13.14)
952;SEMAT COMUNICACIONS, S.L.;25300;TÁRREGA;901;LLEIDA;0457_003;1964467;11/03/2014;A30448;0,97;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
952;SEMAT COMUNICACIONS, S.L.;25300;TÁRREGA;901;LLEIDA;0457_003;1964468;11/03/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
952;SEMAT COMUNICACIONS, S.L.;25300;TÁRREGA;901;LLEIDA;0457_003;1964469;11/03/2014;A30448;1;ESPECIALISTAS PROCESOS - P6 (13.14)
481;TDC 2000 COMUNCAC GLOBALES SRL;8290;CERDANYOLA DEL VALLÉS;901;BARCELONA;0457_003;1964470;27/02/2014;A30448;0,9586;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
481;TDC 2000 COMUNCAC GLOBALES SRL;8290;CERDANYOLA DEL VALLÉS;901;BARCELONA;0457_003;1964471;27/02/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
481;TDC 2000 COMUNCAC GLOBALES SRL;8290;CERDANYOLA DEL VALLÉS;901;BARCELONA;0457_003;1964472;27/02/2014;A30448;0,9925;ESPECIALISTAS PROCESOS - P6 (13.14)
1536;STAND -- AJ CHANNEL 2013 - ECI CORNELLÁ;8940;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964473;26/02/2014;A30448;0,9417;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1536;STAND -- AJ CHANNEL 2013 - ECI CORNELLÁ;8940;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964474;26/02/2014;A30448;1;ESPECIALISTAS IMAGEN ECI - P6 (13.14)
1536;STAND -- AJ CHANNEL 2013 - ECI CORNELLÁ;8940;CORNELLÁ DE LLOBREGAT;901;BARCELONA;0457_003;1964475;26/02/2014;A30448;1;ESPECIALISTAS PROCESOS (ECI) - P6 (13.14)
105;TDC 2000 COMUNCAC GLOBALES SRL;8100;MOLLET DEL VALLÉS;901;BARCELONA;0457_003;1964476;19/02/2014;A30448;0,9767;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
105;TDC 2000 COMUNCAC GLOBALES SRL;8100;MOLLET DEL VALLÉS;901;BARCELONA;0457_003;1964477;19/02/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
105;TDC 2000 COMUNCAC GLOBALES SRL;8100;MOLLET DEL VALLÉS;901;BARCELONA;0457_003;1964478;19/02/2014;A30448;0,95;ESPECIALISTAS PROCESOS APPTUALIZADOR - P6 (13.14)
87;TOTALCOM;8860;CASTELLDEFELS;901;BARCELONA;0457_003;1964479;24/02/2014;A30448;0,8723;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
87;TOTALCOM;8860;CASTELLDEFELS;901;BARCELONA;0457_003;1964480;24/02/2014;A30448;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
87;TOTALCOM;8860;CASTELLDEFELS;901;BARCELONA;0457_003;1964481;24/02/2014;A30448;0,95;ESPECIALISTAS PROCESOS - P6 (13.14)
68;MITEXNO S.L.;8240;MANRESA;901;BARCELONA;0457_003;1964485;27/02/2014;A33663;0,9942;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
68;MITEXNO S.L.;8240;MANRESA;901;BARCELONA;0457_003;1964486;27/02/2014;A33663;0,9303;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
68;MITEXNO S.L.;8240;MANRESA;901;BARCELONA;0457_003;1964487;27/02/2014;A33663;0,9833;ESPECIALISTAS PROCESOS - P6 (13.14)
0219a;ONDAS SYSTEM S.L.;8222;TERRASSA;901;BARCELONA;0457_003;1964488;07/03/2014;A33663;0,9342;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
0219a;ONDAS SYSTEM S.L.;8222;TERRASSA;901;BARCELONA;0457_003;1964489;07/03/2014;A33663;1;ESPECIALISTAS PROCESOS - P6 (13.14)
0219a;ONDAS SYSTEM S.L.;8222;TERRASSA;901;BARCELONA;0457_003;1964490;07/03/2014;A33663;0,9667;ESPECIALISTAS IMAGEN @ - P6 (13.14)
217;ANITEL 2000, S.L;8905;HOSPITALET DE LLOBREGAT;901;BARCELONA;0457_003;1964491;20/02/2014;A33663;0,9478;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
217;ANITEL 2000, S.L;8905;HOSPITALET DE LLOBREGAT;901;BARCELONA;0457_003;1964492;20/02/2014;A33663;0,8796;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
217;ANITEL 2000, S.L;8905;HOSPITALET DE LLOBREGAT;901;BARCELONA;0457_003;1964493;20/02/2014;A33663;0,9458;ESPECIALISTAS PROCESOS - P6 (13.14)
413;ONDAS SYSTEM S.L.;8902;HOSPITALET DE LLOBREGAT;901;BARCELONA;0457_003;1964494;20/02/2014;A33663;0,851;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
413;ONDAS SYSTEM S.L.;8902;HOSPITALET DE LLOBREGAT;901;BARCELONA;0457_003;1964495;20/02/2014;A33663;0,9444;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
413;ONDAS SYSTEM S.L.;8902;HOSPITALET DE LLOBREGAT;901;BARCELONA;0457_003;1964496;20/02/2014;A33663;0,9608;ESPECIALISTAS PROCESOS APPTUALIZADOR - P6 (13.14)
1511;LAITEL 32;8014;Barcelona;901;BARCELONA;0457_003;1964497;03/03/2014;A30448;0,8018;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1511;LAITEL 32;8014;Barcelona;901;BARCELONA;0457_003;1964498;03/03/2014;A30448;0,9258;ESPECIALISTAS PROCESOS - P6 (13.14)
1511;LAITEL 32;8014;Barcelona;901;BARCELONA;0457_003;1964499;03/03/2014;A30448;1;ESPECIALISTAS NI (TP_FQ) - P6 (13.14)
0457a;GRUPCOM RETAIL,  S.L.;8206;SABADELL;901;BARCELONA;0457_003;1964500;27/02/2014;A29944;0,9592;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
0457a;GRUPCOM RETAIL,  S.L.;8206;SABADELL;901;BARCELONA;0457_003;1964501;27/02/2014;A29944;0,9682;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
0457a;GRUPCOM RETAIL,  S.L.;8206;SABADELL;901;BARCELONA;0457_003;1964502;27/02/2014;A29944;0,9833;ESPECIALISTAS PROCESOS APPTUALIZADOR - P6 (13.14)
1529;STAND -- AJ CHANNEL 2013 - ECI SABADELL;8206;SABADELL;901;BARCELONA;0457_003;1964503;27/02/2014;A29944;0,9913;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
1529;STAND -- AJ CHANNEL 2013 - ECI SABADELL;8206;SABADELL;901;BARCELONA;0457_003;1964504;27/02/2014;A29944;0,9444;ESPECIALISTAS IMAGEN ECI - P6 (13.14)
1529;STAND -- AJ CHANNEL 2013 - ECI SABADELL;8206;SABADELL;901;BARCELONA;0457_003;1964505;27/02/2014;A29944;1;ESPECIALISTAS PROCESOS (ECI) - P6 (13.14)
42;GRANOLLERS TELEFONIA S.L.;8400;GRANOLLERS;901;BARCELONA;0457_003;1964506;05/03/2014;A29944;0,8965;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
42;GRANOLLERS TELEFONIA S.L.;8400;GRANOLLERS;901;BARCELONA;0457_003;1964507;05/03/2014;A29944;0,8597;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
42;GRANOLLERS TELEFONIA S.L.;8400;GRANOLLERS;901;BARCELONA;0457_003;1964508;05/03/2014;A29944;0,9258;ESPECIALISTAS PROCESOS - P6 (13.14)
41;GRANOLLERS TELEFONIA S.L:;8400;GRANOLLERS;901;BARCELONA;0457_003;1964509;05/03/2014;A29944;0,8695;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
41;GRANOLLERS TELEFONIA S.L:;8400;GRANOLLERS;901;BARCELONA;0457_003;1964510;05/03/2014;A29944;0,9363;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
41;GRANOLLERS TELEFONIA S.L:;8400;GRANOLLERS;901;BARCELONA;0457_003;1964511;05/03/2014;A29944;0,9758;ESPECIALISTAS PROCESOS - P6 (13.14)
